source,text,Data Bersih,sentiment_score,sentiment_label
YouTube,Kalo beli second ngecek sendiri apa pake jasa orang bang? Jujur tergiur sama harga second nya,beli second ngecek pakai jasa orang bang jujur giur harga second nya,13,Positif
YouTube,"Sy leberan kemarin mudik ke Surabaya aman aj,,hehehe
Beli EV per bulan bisa ngirit 2,5 JT hasil dari beli BBM..soal nya sy pakai mobil kerja keras😊😊😊
Biaya servise sangat amat murah ,aplgi pajak nya😊😊😊",sy leber kemarin mudik surabaya aman ajhehehe beli ev ngirit jt hasil beli bbmsoal nya sy pakai mobil kerja keras biaya servise murah aplgi pajak nya,7,Positif
YouTube,"​ @Djinggo-o2u  karena yg punya belum banyak mas, coba bayangkan tiba2 70% orang pake EV buat mudik lebaran, tapi pemerintah ga support bangun SPKLU",ou mas coba bayang orang pakai ev mudik lebaran perintah support bangun spklu,5,Positif
YouTube, @Djinggo-o2u  skrg pjk boleh murah br0.... next klo sdh rame jgn kaget pjknya lbh mahal dr mbil bensin hihiiii....,ou pjk murah br next klo sdh rame jgn kaget pjknya mahal dr mbil bensin hihi,7,Positif
YouTube,"pd prakteknya saya skrg klo mudik dri Jakarta keluar semarang selalu nginap, sebelum lanjut tol ke jawa timur. jadi bisa istirahat di hotel yg menyediakan charger ccs2. Best option sih PHEV ya, cuman ya maintenance cost mahal dan tidak bebas ganjil genap",praktek klo mudik jakarta semarang nginap tol jawa timur istirahat hotel sedia charger ccs best option sih phev ya cuman ya maintenance cost mahal bebas ganjil genap,4,Positif
YouTube,"Memang butuh dukungan pemerintah untuk bangun SPKLU yang luas, di cina and amerika udh bnyk area SPKLU seluas lapangan bola yang bisa nampung 5000 mobil per hari",butuh dukung perintah bangun spklu luas cina and amerika bnyk area spklu luas lapang bola nampung mobil,9,Positif
YouTube,"kalau mau mudik ya jangan tunggu baterai tiris dulu baru cari casan, berkurang 30% udah mulai lirik2 cari casan yang sepi",mudik ya tunggu baterai tiris cari cas kurang udah lirik cari cas sepi,-10,Negatif
YouTube,"​ @chriswan.winata ya pasti semua orang yg punya mobil listrik berpikirnya begini, ya jadi rame lagi 😅😅",winata ya orang mobil listrik pikir ya rame,12,Positif
YouTube,Mobil EV tuh mobil ke 2 bang 😅😅 jangan jadikan mobil utama,mobil ev tuh mobil bang jadi mobil utama,4,Positif
YouTube,"Kayanya 600km bisa sih tapi deg-deg-an aja. Sama aja sih kaya mobil bensin kita juga ga berani jalan kalo da sekarat, ga ada bedanya. Kalo di jabodetabek sih banyak SPLU. Keluar kota di setiap rest stop ada. 500km cukup sekali kalo charge di rest stop.",kaya sih degdegan sih kaya mobil bensin berani jalan da sekarat beda jabodetabek sih splu kota rest stop charge rest stop,8,Positif
YouTube,"setuju..untuk kebutuhan jarak jauh tp masih mau hemat jelas PHEV pilihan terbaik. Bisa jg utk mobil pertama. Tapi, kalau untuk kebutuhan dalam kota dan sbg mobil ke-2 ke-3 mobil listriks sangat worth it pasti",setujuuntuk butuh jarak hemat phev pilih baik utk mobil butuh kota sbg mobil mobil listriks worth it,0,Netral
YouTube,Horang kaya mah mudik naik peswat...sampai tujuan sewa Mobil beres wkwk,horang kaya mah mudik peswatsampai tuju sewa mobil beres wkwk,3,Positif
YouTube,"bener untuk dalam kota dan pemakaian harian ya oke, tapi kalo keluar kota apalagi pedesaan dan daerah2 yg jarang charger listrik engga, masih enakan mobil hybrid buat jalan.",bener kota pakai hari ya oke kota desa daerah jarang charger listrik engga enak mobil hybrid jalan,13,Positif
YouTube,"Pengen Beli Second nya saja Harganya pasti lumayan turun nya., 
Tapi bisa bbrp saat kemudian datang lagi mobil terbaru BYD yg lebih murah drpd second nya.. 
Trs gmn tuh enaknya.. 
Nunggu menunggu akhirnya, ga jadi beli😅😅",ken beli second nya harga lumayan turun nya bbrp mobil baru byd murah drpd second nya trs tuh enak nunggu tunggu beli,23,Positif
YouTube," @BudiSantoso-nx2dn sekarang juga udah mulai muncul bekasnya, byd seal perfomance itu sekitar 470-500jt padahal barunya 700jt😂",nxdn udah muncul bekas byd seal perfomance jt baru jt,5,Positif
YouTube,Kayanya lebih ke beli baru wkwkwkwk😂,kaya beli wkwkwkwk,4,Positif
YouTube,"D thailand ad 3 tipe, dynamic, premium dan performance. Yang 460jt itu dynamic dimana ga masuk di indonesia. Lagian thailand kebijakan pajaknya mungkin beda. Di malaysia baru aja tadi siang rilis price untuk facelift nya, harga premium nya 650jt, lebih mahal d banding di sini😅",thailand ad tipe dynamic premium performance jt dynamic mana masuk indonesia thailand bijak pajak beda malaysia siang rilis price facelift nya harga premium nya jt mahal banding,9,Positif
YouTube,Justru saya pengen pas android auto/apple CarPlay tetep ada icon2 dibawah,ken pas android autoapple carplay tetep icon bawah,6,Positif
YouTube,Racunin David Gadgetin bang 😂,racunin david gadgetin bang,0,Netral
YouTube,"Dulu naksir bgt sama seal, ntn review si koko dari yg test drive ampe hands on makin naksir cmn kena mendang mending akhirnya mundur ga jadi. Skrg brasa untung ga jadi udah 3 bulanan pake kknya singa laut dan puassss bgt",naksir banget seal ntn review si koko test drive ampe hands on naksir cmn kena dang mending mundur brasa untung udah bulan pakai kknya singa laut puas banget,6,Positif
YouTube,Bismillah ada rezeky lebih beli byd aaminn,bismillah rezeky beli byd aaminn,6,Positif
YouTube,"anjirrr pajak motor 2003 gw aja 160rb, nih mobil malah lebih kecil pajaknya 😭😭",anjir pajak motor gw rb nih mobil pajak,-4,Negatif
YouTube,range yg bener memang bukan dari NEDC bos wkwkwk tp wltp/,range bener nedc bos wkwkwk wltp,9,Positif
YouTube,Akhirnya ada juga yang menyuarakan keresahan saya akan nilai efisiensi sebenarnya perihal mobil listrik,suara resah nilai efisiensi perihal mobil listrik,3,Positif
YouTube,"Kalo niatnya mau peduli lingkungan, dari pembuatan batre nya aja udh ga ramah lingkungan, trus batre yg rusak juga jadi limbah berbahaya. Kebanyakan pembangkit listrik di indonesia juga ga ramah lingkungan amat",niat peduli lingkung buat batre nya ramah lingkung trus batre rusak limbah bahaya banyak bangkit listrik indonesia ramah lingkung,18,Positif
YouTube,"Bahas kasus toyota-daihatsu... pasti
Roasting dikit asik nih 😂😂😂😂",bahas toyotadaihatsu roasting dikit asik nih,2,Positif
YouTube,Bang kenapa sih Triton harus mengganti Strada padahal bagus,bang sih triton ganti strada bagus,5,Positif
YouTube,Masuk akal penjelasannya.mantap,masuk akal penjelasannyamantap,-3,Negatif
YouTube,"Memang mobil hidrogen adalah solusi sempurna,tapi harga hidrogen sangat mahal",mobil hidrogen solusi sempurnatapi harga hidrogen mahal,8,Positif
YouTube,"Di AS, penjualan EV tahun 2023 justru menurun sekitar 60% dikarenakan resiko kebakaran, harga baterai setengah dari harga mobil, hingga fasilitas pengisian daya yg tidak merata justru menyebabkan perusahaan otomotif macam GM dan Ford menunda peluncuran EV baru mereka hingga 2-3 tahun ke depan. 
Mbah Jeremy Clarkson pun sepenuhnya tidak setuju apabila EV sbg satu-satunya solusi, bahkan tidak ada rasa emosional yg terikat dgn pemiliknya dibandingkan dgn kendaraan bermesin konvensional (ICE). 
Sebagian besar perusahaan otomotif salah satunya Volvo yg menargetkan semua lini produk mereka menggunakan Baterai di tahun 2030 merupakan blunder terbesar terutama negara2 yg menerapkan pelarangan produksi dan penjualan kendaraan konvensional hingga 2035 ke dpn.",as jual ev turun resiko bakar harga baterai harga mobil fasilitas isi daya rata sebab usaha otomotif gm ford tunda luncur ev mbah jeremy clarkson sepenuh tuju ev sbg satusatunya solusi emosional ikat milik banding kendara mesin konvensional ice usaha otomotif salah satu volvo target lini produk baterai blunder besar negara terap larang produksi jual kendara konvensional dpn,33,Positif
YouTube,"Udah paling bener pengurangan kendaraan pribadi , dan perbanyak, perbagus dan permurah kendaraan umum",udah bener kurang kendara pribadi banyak bagus murah kendara,8,Positif
YouTube,"buat mobil hemat bahan bakar. atau buat bahan bakar pengganti fosil. dari tebu, sawit dan lain2",mobil hemat bahan bakar bahan bakar ganti fosil tebu sawit,0,Netral
YouTube,"HADIR Kang...

☝️☝️☝️",hadir kang,2,Positif
YouTube,Nah itu yang Harus dipertimbangkan Oleh Pengguna EV siap-siap aja 10 Tahunan Batreai malah jadi Sampah. Benar kata dia di Indonesia gax ada Demolish Car belum lagi Limbah Batrai yang Sangat Menghawatrikan Para Peneliti. Lebih baik Pertimbangan dulu sebelum Menyesal di 10 Tahun Mendatang.,timbang guna ev siapsiap tahun batreai sampah indonesia gax demolish car limbah batrai menghawatrikan teliti timbang sesal,-2,Negatif
YouTube,"LUHUT KAN PEMEGANG SAHAM PT. TBS ENERGI, YG DIGADANG2 JADI PRODUSEN BATRE EV. KALO DIA GETOL, PANTAS LAH. CUAN BUAT DIA KOK. 
SATT!!",luhut pegang saham pt tbs energi gadang produsen batre ev getol cuan satt,-1,Negatif
YouTube,Skandal safety Rocky & Raize dibahas dong bang,skandal safety rocky raize bahas bang,2,Positif
YouTube,Bener juga bro,bener bro,3,Positif
YouTube,Bang bahas honda del sol dong penasaran,bang bahas honda del sol penasaran,-1,Negatif
YouTube,"oot dari video, menurutku junkyard mobil di indo sedikit banget, antara pergi 30km bela-belain beli part bekas mobil kecelakaan ato buat surat-surat sama harga part di polsek, karena selain junkyard polsek juga ada yang numpuk mobil",oot video turut junkyard mobil indo banget pergi belabelain beli part bekas mobil celaka ato suratsurat harga part polsek junkyard polsek numpuk mobil,0,Netral
YouTube,"Dari limbah batray yg nanti bakal banyak, dan polusi udara dari pembangkit listrik, jika pembangkit tidak ikut di perbarui jadi batu bara ke EBT,",limbah batray polusi udara bangkit listrik bangkit baru batu bara ebt,0,Netral
YouTube,Semangat bang,semangat bang,4,Positif
YouTube,"Bang bahas nissan/datsun  generasi fairlady /Z dong yang pake mesin L series yang iconic (L24 L26 L28). Durasi makin panjang makin bagus.
Sangat ditunggu karena saya lagi rebuild mesin L28.
Terimakasih",bang bahas nissandatsun generasi fairlady z pakai mesin l series iconic l l l durasi bagus tunggu rebuild mesin l terimakasih,7,Positif
YouTube,"walau kecil berdampak besar bang, bayangin dikemacetan ada puluhan motor mobil stuck , itu asapnya terasa banget
barangkali ada kesadaran bersama, bisalah beralih asapnya jd berkurang dengan molis. 
ga semua pembangkit listrik berpolusi loh, tenaga air, udara, matahari, ombak, bahkan nuklir aman dari polusi..
klo masalahnya batrai meledak pake apar lah, masa nungguin air pemadam.. sampah mobil mah pasti laku besinya, sparepartnya..
tentang batre, mana tau dimasa depan jadi semakin murah dan aman dan awet,, ketika banyak yg pake pasti sparepart jg akan melimpah, banyak part oem..",dampak bang bayangin macet puluh motor mobil stuck asap banget barangkali sadar bisa alih asap kurang mol bangkit listrik polusi loh tenaga air udara matahari ombak nuklir aman polusi klo batrai ledak pakai apar nungguin air madam sampah mobil mah laku besi sparepartnya batre tau masa murah aman awet pakai sparepart limpah part oem,-11,Negatif
YouTube,Bang Kalau di masa depan sih nggak seperti itu.,bang sih,0,Netral
YouTube,"untuk saat ini sih pembuatan baterai masih bahaya untuk lingkungan tapi untuk di masa depan mungkin bakalan disempurnakan bisa jadi ramah lingkungan Mungkin untuk di masa depan baterai mobil ev nggak bakalan jadi limbah, Mungkin bisa didaur ulang",sih buat baterai bahaya lingkung sempurna ramah lingkung baterai mobil ev limbah daur ulang,-1,Negatif
YouTube,"simpelnya kya toyota konsumen suruh milih jgn di paksa ke ev ,kan ada hidrogen sama bbm nabati dll",simpel kya toyota konsumen suruh milih jgn paksa ev hidrogen bbm nabati dll,-5,Negatif
YouTube,"​ @apatcy1215  Tapi tapi, hidrogen kalo kecelakaan, terus bocor, meledaknya dahsyat lho. 

Konversi energinya juga tidak seefisien mobil listrik.

Makanya cuma toyota aja yang masih tertarik pakai hidrogen.

Btw sekarang full hybrid kayak toyota yaris cross itu udah mantep banget, jauh mengurangi konsumsi bbm, dan tidak pakai baterai besar.",hidrogen celaka bocor ledak dahsyat lho konversi energi efisien mobil listrik toyota tarik pakai hidrogen btw full hybrid kayak toyota yaris cross udah mantep banget kurang konsumsi bbm pakai baterai,-9,Negatif
YouTube,"Amerika cadangan minyaknya masih banyak banget makanya enggan buat beralih ke listrik sedangkan listrik saat ini mayoritas masih di hasilkan oleh batubara yg mana cadangan itu sangat berlimpah di negara berkembang, minyak di gadang2 akan habis nyatanya dari dulu sampai sekarang masih sangat berlimpah, menurut gua ini semua hanya akal2an perang dagang aja yg mana negara maju juga tidak mau ketinggalan dengan inovasi tsb namun jadi blunder utk negara maju itu sendiri",amerika cadang minyak banget enggan alih listrik listrik mayoritas hasil batubara cadang limpah negara kembang minyak gadang habis limpah gua akal perang dagang negara maju tinggal inovasi tsb blunder utk negara maju,6,Positif
YouTube," @sfyn93  Benar, itungannya seperti industri makanan vegan (100% nabati) di negara2 barat, padahal industri pertanian seperti gandum, dan kedelai tidak kalah jauh merusak lingkungan seperti deforestasi utk pembukaan lahan, dan penggunaan bahan kimia seiringnya perkembangan pertanian modern dibandingkan dgn industri pertenakan disebut sebagai biang kerok perubahan iklim melalui gas yg dihasilkan hewan ternak padahal tidak seberapa.
Lebih menjijikkannya industri makanan vegan berpotensi menyingkirkan/membunuh pertanian2 yg dikelola petani kecil, karena industri tsb sebagian besar dikelola pelaku industri besar.",itungannya industri makan vegan nabati negara barat industri tani gandum kedelai kalah rusak lingkung deforestasi utk buka lahan guna bahan kimia iring kembang tani modern banding industri tenak biang kerok ubah iklim gas hasil hewan ternak jijik industri makan vegan potensi menyingkirkanmembunuh tani kelola tani industri tsb kelola laku industri,5,Positif
YouTube,Survey mn itu kang? Hahhaah. Di As pnjualan trs mngkat mmg. Walau gk sehebat dan scpat eropa. Loe tau gk brpa produksi EV dsna dan brpa eksport EV yg msk ke Mamarika!,survey mn kang hahhaah as pnjualan trs mngkat mmg hebat scpat eropa loe tau brpa produksi ev dsna brpa eksport ev msk mamarika,-4,Negatif
YouTube,"Kasi sumber kalo komen, jangan asal",kasi sumber komen,-3,Negatif
YouTube,kalo mau transisi janga buru2 kepure ev melainkan hybrid,transisi janga buru pure ev hybrid,1,Positif
YouTube,"CATL lagi sibuk pasarin batere garam 2023 kemarin,

batere garam ini lebih tahan panas dan ramah lingkungan.",catl sibuk pasarin batere garam kemarin batere garam tahan panas ramah lingkung,14,Positif
YouTube,"Udah yang paling bener pakai BBG, kayak bajaj biru.. bisa dual fuel juga.. lebih efisien dan emisi juga bisa berkurang.. 
Polusi dari upstream ke downstream ga ada masalah.
Keamanan terjamin dan sudah teruji..

EV tidak cocok di indonesia, karena upstream listrik pembangkitnya nya tetep masih dr batubara, makin nambah polusi.

Hydrocell masih perlu elekrolisis.

Fuel konvensional masih tinggi emisinya..

Paling bener udah BBG (CNG) lahh mahal dikit cuma emisi lebih baik.. tapi ga menarik karena ga cuan..",udah bener pakai bbg kayak bajaj biru dual fuel efisien emisi kurang polusi upstream downstream aman jamin uji ev cocok indonesia upstream listrik bangkit nya tetep dr batubara nambah polusi hydrocell elekrolisis fuel konvensional emisi bener udah bbg cng lahh mahal dikit emisi tarik cuan,-3,Negatif
YouTube,Kalo si mbah jeremy mah hobi ngebut2 ya kali pake EV. Yg tenang ke may mungkin hehehe,si mbah jeremy mah hobi ngebut ya kali pakai ev tenang may hehehe,9,Positif
YouTube,"Info terbaru negara uni erop dsn Inggris yg dah kluar dri Uni Erop ga kdi mau mlarang mbl berbhn bkar fosil Pa Alhamdulillah 
Mbl listrik sangat2 ga praktis 
Berdusta klo dikatakn ramah lingkungan 
Alhamdulillah YAA ALLAH CANNEL NI SANGAT MENDIDIK UTK MASARAKAT UMUM",info baru negara uni erop dsn inggris dah kluar uni erop kdi mlarang mbl berbhn bkar fosil pa alhamdulillah mbl listrik praktis dusta klo dikatakn ramah lingkung alhamdulillah yaa allah cannel ni didik utk masarakat,12,Positif
